Molen;Datum;Totale productie (kWh);Per winddeel (kWh);9 Winddelen (kWh)
De Witte Juffer;2019-01-12;0;0;0
De Witte Juffer;2019-01-11;7644;1,336;12,025
De Witte Juffer;2019-01-10;2698;0,472;4,244
De Witte Juffer;2019-01-09;20922;3,657;32,913
De Witte Juffer;2019-01-08;38468;6,724;60,516
De Witte Juffer;2019-01-07;17742;3,101;27,911
De Witte Juffer;2019-01-06;2806;0,49;4,414
De Witte Juffer;2019-01-05;13408;2,344;21,093
De Witte Juffer;2019-01-04;4484;0,784;7,054
De Witte Juffer;2019-01-03;3386;0,592;5,327
De Witte Juffer;2019-01-02;10922;1,909;17,182
De Witte Juffer;2019-01-01;17964;3,14;28,26
De Witte Juffer;2018-12-31;4150;0,725;6,529
De Witte Juffer;2018-12-30;7395;1,293;11,633
De Witte Juffer;2018-12-29;21215;3,708;33,374
De Witte Juffer;2018-12-28;2103;0,368;3,308
De Witte Juffer;2018-12-27;1312;0,229;2,064
De Witte Juffer;2018-12-26;3486;0,609;5,484
De Witte Juffer;2018-12-25;7816;1,366;12,296
De Witte Juffer;2018-12-24;2909;0,508;4,576
De Witte Juffer;2018-12-23;5763;1,007;9,066
De Witte Juffer;2018-12-22;20286;3,546;31,913
De Witte Juffer;2018-12-21;33615;5,876;52,881
De Witte Juffer;2018-12-20;16155;2,824;25,414
De Witte Juffer;2018-12-19;13114;2,292;20,63
De Witte Juffer;2018-12-18;15666;2,738;24,645
De Witte Juffer;2018-12-17;11644;2,035;18,318
De Witte Juffer;2018-12-16;5464;0,955;8,596
De Witte Juffer;2018-12-15;17205;3,007;27,066
De Witte Juffer;2018-12-14;5725;1,001;9,006
De Witte Juffer;2018-12-13;9198;1,608;14,47
De Witte Juffer;2018-12-12;1407;0,246;2,213
De Witte Juffer;2018-12-11;3821;0,668;6,011
De Witte Juffer;2018-12-10;11254;1,967;17,704
De Witte Juffer;2018-12-09;31001;5,419;48,769
De Witte Juffer;2018-12-08;41373;7,232;65,086
De Witte Juffer;2018-12-07;29914;5,229;47,059
De Witte Juffer;2018-12-06;16381;2,863;25,77
De Witte Juffer;2018-12-05;8229;1,438;12,945
De Witte Juffer;2018-12-04;1345;0,235;2,116
De Witte Juffer;2018-12-03;26636;4,656;41,902
De Witte Juffer;2018-12-02;24937;4,359;39,23
De Witte Juffer;2018-12-01;20444;3,574;32,162
De Witte Juffer;2018-11-30;16081;2,811;25,298
De Witte Juffer;2018-11-29;23859;4,17;37,534
De Witte Juffer;2018-11-28;20807;3,637;32,733
De Witte Juffer;2018-11-27;4554;0,796;7,164
De Witte Juffer;2018-11-26;4292;0,75;6,752
De Witte Juffer;2018-11-25;2430;0,425;3,823
De Witte Juffer;2018-11-24;3271;0,572;5,146
De Witte Juffer;2018-11-23;3751;0,656;5,901
De Witte Juffer;2018-11-22;1918;0,335;3,017
De Witte Juffer;2018-11-21;4250;0,743;6,686
